"","team","ifW","ifL","ifT","Pct"
"4","FU Roadshow Winnebago",29,15,0,0.659090909090909
"11","+/- 1 PSI",28,15,1,0.647727272727273
"9","Love in an Elevator",27,17,0,0.613636363636364
"3","Coffin Corner Gunners",26,17,1,0.602272727272727
"6","Boston Bobcatz",25,16,3,0.602272727272727
"5","Wilfork Island",23,21,0,0.522727272727273
"7","Screw you,  Goodell",21,20,3,0.511363636363636
"1","The Peasemakers",20,22,2,0.477272727272727
"8","Down w/the Confederacaaaa!",18,23,3,0.443181818181818
"10","Richmond Confederates",18,26,0,0.409090909090909
"2","What Would Jameis Do?",13,30,1,0.306818181818182
"12","Tom Terrific",9,35,0,0.204545454545455
